[2026-02-20 07:19:52] SLOW QUERY (150ms): SELECT * FROM test_data WHERE value > ? | Args: [5]
[2026-02-20 07:19:52] SLOW QUERY (250ms): SELECT * FROM slow_table WHERE expensive_join | Args: []
[2026-02-20 07:19:52] SLOW QUERY (180ms): UPDATE slow_table SET value = ? | Args: [100]
[2026-02-20 07:19:52] SLOW QUERY (150ms): UPDATE table3 SET x = ? | Args: [42]
[2026-02-20 07:19:52] SLOW QUERY (100ms): Exactly at threshold | Args: []
[2026-02-20 07:19:52] SLOW QUERY (101ms): Just above threshold | Args: []
[2026-02-20 07:21:14] SLOW QUERY (150ms): SELECT * FROM test_data WHERE value > ? | Args: [5]
[2026-02-20 07:21:14] SLOW QUERY (250ms): SELECT * FROM slow_table WHERE expensive_join | Args: []
[2026-02-20 07:21:14] SLOW QUERY (180ms): UPDATE slow_table SET value = ? | Args: [100]
[2026-02-20 07:21:14] SLOW QUERY (150ms): UPDATE table3 SET x = ? | Args: [42]
[2026-02-20 07:21:14] SLOW QUERY (100ms): Exactly at threshold | Args: []
[2026-02-20 07:21:14] SLOW QUERY (101ms): Just above threshold | Args: []
[2026-02-20 07:22:22] SLOW QUERY (150ms): SELECT * FROM test_data WHERE value > ? | Args: [5]
[2026-02-20 07:22:22] SLOW QUERY (250ms): SELECT * FROM slow_table WHERE expensive_join | Args: []
[2026-02-20 07:22:22] SLOW QUERY (180ms): UPDATE slow_table SET value = ? | Args: [100]
[2026-02-20 07:22:22] SLOW QUERY (150ms): UPDATE table3 SET x = ? | Args: [42]
[2026-02-20 07:22:22] SLOW QUERY (100ms): Exactly at threshold | Args: []
[2026-02-20 07:22:22] SLOW QUERY (101ms): Just above threshold | Args: []
[2026-02-20 07:23:28] SLOW QUERY (150ms): SELECT * FROM test_data WHERE value > ? | Args: [5]
[2026-02-20 07:23:28] SLOW QUERY (250ms): SELECT * FROM slow_table WHERE expensive_join | Args: []
[2026-02-20 07:23:28] SLOW QUERY (180ms): UPDATE slow_table SET value = ? | Args: [100]
[2026-02-20 07:23:28] SLOW QUERY (150ms): UPDATE table3 SET x = ? | Args: [42]
[2026-02-20 07:23:28] SLOW QUERY (100ms): Exactly at threshold | Args: []
[2026-02-20 07:23:28] SLOW QUERY (101ms): Just above threshold | Args: []
[2026-02-20 07:24:26] SLOW QUERY (150ms): SELECT * FROM test_data WHERE value > ? | Args: [5]
[2026-02-20 07:24:26] SLOW QUERY (250ms): SELECT * FROM slow_table WHERE expensive_join | Args: []
[2026-02-20 07:24:26] SLOW QUERY (180ms): UPDATE slow_table SET value = ? | Args: [100]
[2026-02-20 07:24:26] SLOW QUERY (150ms): UPDATE table3 SET x = ? | Args: [42]
[2026-02-20 07:24:26] SLOW QUERY (100ms): Exactly at threshold | Args: []
[2026-02-20 07:24:26] SLOW QUERY (101ms): Just above threshold | Args: []
[2026-02-20 07:24:35] SLOW QUERY (150ms): SELECT * FROM test_data WHERE value > ? | Args: [5]
[2026-02-20 07:24:35] SLOW QUERY (250ms): SELECT * FROM slow_table WHERE expensive_join | Args: []
[2026-02-20 07:24:35] SLOW QUERY (180ms): UPDATE slow_table SET value = ? | Args: [100]
[2026-02-20 07:24:35] SLOW QUERY (150ms): UPDATE table3 SET x = ? | Args: [42]
[2026-02-20 07:24:35] SLOW QUERY (100ms): Exactly at threshold | Args: []
[2026-02-20 07:24:35] SLOW QUERY (101ms): Just above threshold | Args: []
[2026-02-20 13:20:52] SLOW QUERY (150ms): SELECT * FROM test_data WHERE value > ? | Args: [5]
[2026-02-20 13:20:52] SLOW QUERY (250ms): SELECT * FROM slow_table WHERE expensive_join | Args: []
[2026-02-20 13:20:52] SLOW QUERY (180ms): UPDATE slow_table SET value = ? | Args: [100]
[2026-02-20 13:20:52] SLOW QUERY (150ms): UPDATE table3 SET x = ? | Args: [42]
[2026-02-20 13:20:52] SLOW QUERY (100ms): Exactly at threshold | Args: []
[2026-02-20 13:20:52] SLOW QUERY (101ms): Just above threshold | Args: []
[2026-02-20 13:21:35] SLOW QUERY (150ms): SELECT * FROM test_data WHERE value > ? | Args: [5]
[2026-02-20 13:21:35] SLOW QUERY (250ms): SELECT * FROM slow_table WHERE expensive_join | Args: []
[2026-02-20 13:21:35] SLOW QUERY (180ms): UPDATE slow_table SET value = ? | Args: [100]
[2026-02-20 13:21:35] SLOW QUERY (150ms): UPDATE table3 SET x = ? | Args: [42]
[2026-02-20 13:21:35] SLOW QUERY (100ms): Exactly at threshold | Args: []
[2026-02-20 13:21:35] SLOW QUERY (101ms): Just above threshold | Args: []
[2026-02-20 13:22:20] SLOW QUERY (150ms): SELECT * FROM test_data WHERE value > ? | Args: [5]
[2026-02-20 13:22:20] SLOW QUERY (250ms): SELECT * FROM slow_table WHERE expensive_join | Args: []
[2026-02-20 13:22:20] SLOW QUERY (180ms): UPDATE slow_table SET value = ? | Args: [100]
[2026-02-20 13:22:20] SLOW QUERY (150ms): UPDATE table3 SET x = ? | Args: [42]
[2026-02-20 13:22:20] SLOW QUERY (100ms): Exactly at threshold | Args: []
[2026-02-20 13:22:20] SLOW QUERY (101ms): Just above threshold | Args: []
[2026-02-20 13:22:51] SLOW QUERY (150ms): SELECT * FROM test_data WHERE value > ? | Args: [5]
[2026-02-20 13:22:51] SLOW QUERY (250ms): SELECT * FROM slow_table WHERE expensive_join | Args: []
[2026-02-20 13:22:51] SLOW QUERY (180ms): UPDATE slow_table SET value = ? | Args: [100]
[2026-02-20 13:22:51] SLOW QUERY (150ms): UPDATE table3 SET x = ? | Args: [42]
[2026-02-20 13:22:51] SLOW QUERY (100ms): Exactly at threshold | Args: []
[2026-02-20 13:22:51] SLOW QUERY (101ms): Just above threshold | Args: []
[2026-02-20 13:23:28] SLOW QUERY (150ms): SELECT * FROM test_data WHERE value > ? | Args: [5]
[2026-02-20 13:23:28] SLOW QUERY (250ms): SELECT * FROM slow_table WHERE expensive_join | Args: []
[2026-02-20 13:23:28] SLOW QUERY (180ms): UPDATE slow_table SET value = ? | Args: [100]
[2026-02-20 13:23:28] SLOW QUERY (150ms): UPDATE table3 SET x = ? | Args: [42]
[2026-02-20 13:23:28] SLOW QUERY (100ms): Exactly at threshold | Args: []
[2026-02-20 13:23:28] SLOW QUERY (101ms): Just above threshold | Args: []
[2026-02-20 13:23:59] SLOW QUERY (150ms): SELECT * FROM test_data WHERE value > ? | Args: [5]
[2026-02-20 13:23:59] SLOW QUERY (250ms): SELECT * FROM slow_table WHERE expensive_join | Args: []
[2026-02-20 13:23:59] SLOW QUERY (180ms): UPDATE slow_table SET value = ? | Args: [100]
[2026-02-20 13:23:59] SLOW QUERY (150ms): UPDATE table3 SET x = ? | Args: [42]
[2026-02-20 13:23:59] SLOW QUERY (100ms): Exactly at threshold | Args: []
[2026-02-20 13:23:59] SLOW QUERY (101ms): Just above threshold | Args: []
[2026-02-20 13:24:38] SLOW QUERY (150ms): SELECT * FROM test_data WHERE value > ? | Args: [5]
[2026-02-20 13:24:38] SLOW QUERY (250ms): SELECT * FROM slow_table WHERE expensive_join | Args: []
[2026-02-20 13:24:38] SLOW QUERY (180ms): UPDATE slow_table SET value = ? | Args: [100]
[2026-02-20 13:24:38] SLOW QUERY (150ms): UPDATE table3 SET x = ? | Args: [42]
[2026-02-20 13:24:38] SLOW QUERY (100ms): Exactly at threshold | Args: []
[2026-02-20 13:24:38] SLOW QUERY (101ms): Just above threshold | Args: []
[2026-02-20 13:25:09] SLOW QUERY (150ms): SELECT * FROM test_data WHERE value > ? | Args: [5]
[2026-02-20 13:25:09] SLOW QUERY (250ms): SELECT * FROM slow_table WHERE expensive_join | Args: []
[2026-02-20 13:25:09] SLOW QUERY (180ms): UPDATE slow_table SET value = ? | Args: [100]
[2026-02-20 13:25:09] SLOW QUERY (150ms): UPDATE table3 SET x = ? | Args: [42]
